latitude;longitude;acq_date
-2.5844;121.368;08/04/2016
-2.5829;121.3783;08/04/2016
-2.5733;121.3771;08/04/2016
-0.6021;123.0733;09/04/2016
1.4529;125.1839;09/04/2016
0.8773;123.0221;09/04/2016
-2.582;121.386;09/04/2016
-2.5801;121.3723;09/04/2016
-2.6126;121.5653;09/04/2016
-2.756;121.6545;09/04/2016
-2.6217;121.5665;09/04/2016
1.1722;121.3129;09/04/2016
1.0594;121.5036;09/04/2016
-2.5765;121.3798;11/04/2016
-2.5861;121.381;11/04/2016
-2.5875;121.371;11/04/2016
0.7513;122.5223;11/04/2016
0.5082;122.8214;11/04/2016
0.5126;122.5235;11/04/2016
0.7224;123.0322;11/04/2016
-0.9573;122.7861;13/04/2016
-4.8382;119.553;13/04/2016
-3.0026;120.1898;13/04/2016
0.7729;122.4548;13/04/2016
0.8486;123.6242;13/04/2016
1.451;125.199;13/04/2016
-1.5244;122.2635;13/04/2016
1.4497;125.19;13/04/2016
-2.5792;121.3736;15/04/2016
-2.5842;121.3795;15/04/2016
1.0262;122.1487;16/04/2016
-4.5461;120.3214;16/04/2016
-3.796;119.6506;16/04/2016
1.273;120.9318;18/04/2016
1.2744;120.9223;18/04/2016
1.2835;120.9237;18/04/2016
-2.5874;121.2798;18/04/2016
-3.9283;119.7977;18/04/2016
-2.5265;121.3583;18/04/2016
-3.7879;119.6506;18/04/2016
-2.603;120.6947;18/04/2016
-2.5417;120.7366;18/04/2016
-2.5274;121.3553;18/04/2016
-1.5223;122.2664;18/04/2016
-2.588;121.379;18/04/2016
-2.579;121.3777;18/04/2016
-2.5803;121.3687;18/04/2016
1.0497;121.5278;18/04/2016
1.2771;120.9259;18/04/2016
1.2758;120.917;18/04/2016
-1.512;122.27;19/04/2016
1.2892;120.9333;19/04/2016
1.2876;120.9243;20/04/2016
-1.094;121.5115;20/04/2016
-2.2443;121.5652;20/04/2016
-2.8294;122.16;20/04/2016
-2.5802;121.3765;20/04/2016
-1.5145;122.2635;20/04/2016
-1.5242;122.2649;20/04/2016
1.4522;125.1926;20/04/2016
1.0283;121.4719;20/04/2016
1.18;121.1789;20/04/2016
1.2862;120.9284;20/04/2016
1.2936;120.9261;20/04/2016
1.4472;125.1866;22/04/2016
-1.5227;122.2629;22/04/2016
1.0399;120.8253;22/04/2016
-1.523;122.2694;22/04/2016
-1.3953;120.7537;22/04/2016
-2.5763;121.3718;22/04/2016
-2.5842;121.3768;22/04/2016
-2.5781;121.3837;22/04/2016
-2.5763;121.3719;22/04/2016
-2.5898;121.373;22/04/2016
-1.5208;122.2623;22/04/2016
1.0346;121.5836;22/04/2016
0.8707;124.6984;22/04/2016
-1.5242;122.2675;22/04/2016
0.5128;122.5372;24/04/2016
-1.5139;122.2715;24/04/2016
-2.5787;121.3841;24/04/2016
-2.577;121.3726;24/04/2016
1.0309;122.1419;25/04/2016
1.4488;125.181;25/04/2016
0.7728;122.2698;25/04/2016
-2.5889;121.373;25/04/2016
0.5145;122.5324;26/04/2016
1.4553;125.1966;27/04/2016
-2.5773;121.3765;27/04/2016
-3.9289;119.7981;27/04/2016
-2.5864;121.3753;27/04/2016
-2.5787;121.3857;27/04/2016
0.1443;120.0441;27/04/2016
0.6648;122.5656;27/04/2016
0.5591;120.3654;27/04/2016
1.0459;121.4279;27/04/2016
-2.5732;121.373;27/04/2016
-2.5752;121.3871;27/04/2016
1.5445;124.9016;29/04/2016
0.7193;122.5044;29/04/2016
1.447;125.186;29/04/2016
1.4484;125.1769;29/04/2016
-2.575;121.3789;29/04/2016
-2.5844;121.3774;29/04/2016
-1.5204;122.2689;29/04/2016
-1.5195;122.264;29/04/2016
-1.2498;122.5875;29/04/2016
-1.2411;122.5906;29/04/2016
-2.5879;121.3831;30/04/2016
-2.5904;121.3657;30/04/2016
1.4495;125.1851;01/05/2016
-0.9464;122.789;01/05/2016
-2.5717;121.3787;01/05/2016
-3.0065;120.1952;01/05/2016
-2.574;121.3938;01/05/2016
-2.5833;121.3767;01/05/2016
-2.5856;121.3917;01/05/2016
-2.5836;121.3621;01/05/2016
-2.5798;121.3892;01/05/2016
-2.5758;121.3817;01/05/2016
-1.5208;122.2638;01/05/2016
-2.577;121.3727;01/05/2016
-2.5763;121.3849;01/05/2016
-2.5719;121.3922;01/05/2016
-2.5705;121.3825;01/05/2016
-2.5748;121.3752;01/05/2016
-1.5205;122.2658;01/05/2016
1.0345;121.6429;02/05/2016
1.044;120.8238;02/05/2016
0.5194;122.5298;02/05/2016
-2.4137;121.2156;02/05/2016
-2.2058;121.4262;02/05/2016
-2.7554;121.9948;02/05/2016
-1.521;122.26;02/05/2016
-2.9709;121.3626;02/05/2016
-2.9724;121.3521;02/05/2016
-2.2042;121.4367;02/05/2016
1.0082;121.4605;02/05/2016
-1.5176;122.2675;03/05/2016
-2.573;121.3891;03/05/2016
-1.52;122.2608;03/05/2016
-0.6049;123.0738;03/05/2016
-2.5747;121.3767;03/05/2016
-1.519;122.2715;03/05/2016
-2.5694;121.3852;03/05/2016
-2.5769;121.3775;03/05/2016
-2.5791;121.3921;03/05/2016
0.7765;122.2787;04/05/2016
1.0411;120.8209;04/05/2016
-2.4399;121.2008;04/05/2016
-2.8335;122.1584;04/05/2016
-3.263;122.2957;04/05/2016
-1.1459;121.2948;04/05/2016
-2.4127;121.2156;04/05/2016
-2.1049;121.3564;04/05/2016
-2.5815;121.3735;04/05/2016
-2.0789;121.411;04/05/2016
-1.5251;122.2625;04/05/2016
-2.4854;121.0142;04/05/2016
-2.5588;121.0115;04/05/2016
-2.5574;121.0209;04/05/2016
-2.5802;121.3825;04/05/2016
-0.1768;119.9657;04/05/2016
-2.8838;121.1852;04/05/2016
-3.0071;121.2282;04/05/2016
-1.8181;121.0428;04/05/2016
-2.5712;121.3812;04/05/2016
